"Error_Dist","Scenario","Tau","Method","Kernel","p","MSE_beta","MAE_beta","WMSE_beta","CheckLoss_test","Bias_beta_avg","Coverage_beta_avg","CI_Width_beta_avg","Fit_Time_avg_sec","Rhat_beta_max","ESS_bulk_beta_min","ESS_tail_beta_min","Rhat_theta","ESS_bulk_theta","ESS_tail_theta","Num_Divergences_avg"
"t3_unscaled","Dense_p8",0.25,"BSQR","Triangular",8,0.0177167777579988,0.10743419230072,0.0918689376727549,0.566921763646234,0.00107337863584221,0.9025,0.448824229296875,21.6875122475624,1.00695193598148,2705.07424531861,2462.23503139008,1.00306585755102,3155.34283418567,2650.32604890367,0
"t3_unscaled","Dense_p8",0.5,"QR","N/A",8,0.0148587719376956,0.0968572382531335,0.0756412971525059,0.565077193919663,-0.00197081243263492,,,,,,,,,,
"t3_unscaled","Dense_p8",0.5,"BQR","ALD",8,0.0128668437939161,0.0906937286941547,0.0656845663101293,0.563488721282526,-0.00122086350009217,0.94875,0.44181833796875,10.044600508213,1.00170593502046,2248.74071453616,2284.21301162258,1.0006211940789,3567.48991490986,2681.25539914153,0
"t3_unscaled","Dense_p8",0.5,"BSQR","Gaussian",8,0.0125829155400461,0.0900366662022297,0.0636722617856671,0.563200350994824,-0.000495938333167165,0.955625,0.461199510015625,77.7299269258976,1.0015470403587,2811.09995287558,2492.56088912896,1.00060430423987,3222.6256275759,2639.04893786141,0.295
"t3_unscaled","Dense_p8",0.5,"BSQR","Uniform",8,0.0125674253142145,0.0896745729550989,0.0638687031277124,0.563212481123498,-0.000609476962598887,0.955,0.452635207359375,4.29469612360001,1.00160185100766,2757.12846137368,2472.14535633933,1.000542677055,3183.35593482076,2654.61989559862,0
"t3_unscaled","Dense_p8",0.5,"BSQR","Epanechnikov",8,0.0125187703185438,0.0896290932181354,0.0634456304967957,0.563150502170354,-0.000647724435229074,0.993125,0.643396279223438,24.3019909751415,1.00159056932156,2753.52471558491,2452.7748404684,1.0006038939917,3516.74292428514,2719.50922423607,0
"t3_unscaled","Dense_p8",0.5,"BSQR","Triangular",8,0.0126976693254772,0.0899758240519531,0.0643812620215922,0.563251087106816,-0.000911277865078102,0.953125,0.446641493375,19.9073998844624,1.00150780859561,2734.17096103179,2468.91690783166,1.00062282651407,3173.78137391454,2644.32940004637,0
"t3_unscaled","Dense_p8",0.75,"QR","N/A",8,0.0193213285869164,0.109282438150685,0.0955714949138879,0.565984497006312,0.000167486796213474,,,,,,,,,,
"t3_unscaled","Dense_p8",0.75,"BQR","ALD",8,0.0181848250409264,0.105187776490167,0.0893745622509999,1.13679729940089,0.000494122153270961,0.906875,0.449505001129688,9.76926458835602,1.00171045341595,2221.74787034546,2259.13271827027,1.00075790317898,3576.89962709224,2679.4053585766,0
"t3_unscaled","Dense_p8",0.75,"BSQR","Gaussian",8,0.0187564231984482,0.106484676941725,0.0923860034508113,0.565511090884013,0.00110474932702533,0.918125,0.474576100289063,78.2263003396988,1.00150042123884,2797.01672147976,2498.00713630923,1.00071646907811,3275.17214101379,2671.55269345471,0.27
"t3_unscaled","Dense_p8",0.75,"BSQR","Uniform",8,0.0185742038093679,0.106044584450717,0.0912163294810119,0.565303753951121,0.000944493162720334,0.90875,0.459700349457813,4.19697967171669,1.00162580544953,2757.23912621603,2485.1596045962,1.00062838514838,3215.10107408693,2687.79189391685,0
"t3_unscaled","Dense_p8",0.75,"BSQR","Epanechnikov",8,0.01844705790964,0.105665730750355,0.0907863864154863,0.565205440070488,0.00101665985901955,0.9475,0.539799832396875,24.793749448061,1.00163650546796,2734.12399290502,2474.13110672681,1.00059455266143,3348.44177032502,2692.06011960342,0
"t3_unscaled","Dense_p8",0.75,"BSQR","Triangular",8,0.0182957022397363,0.105260702296256,0.0901240529005534,0.565107504454161,0.000922628481556601,0.90875,0.454084411948438,19.8395725381374,1.00151149108918,2686.28338435387,2469.08091945979,1.00072556023346,3136.390533678,2651.63235133311,0
"mix_norm_v3v4","Sparse_p20",0.25,"QR","N/A",20,0.0697486477207623,0.213017788621881,0.842613755939867,0.858353701723956,0.00088324095019366,,,,,,,,,,
"mix_norm_v3v4","Sparse_p20",0.25,"BQR","ALD",20,0.0611387362472354,0.198665486228569,0.733401582843305,1.46243085693035,0.000508712696027296,0.86225,0.736979632576056,25.1644588541985,1.00213905002566,2310.50234749543,2349.09217821592,1.00051300567069,4076.48493003451,2825.71852360062,0
"mix_norm_v3v4","Sparse_p20",0.25,"BSQR","Gaussian",20,0.0617120595488483,0.198183656274342,0.764066869968002,0.850034516628392,-0.00142729730898659,0.87875,1.2840675567292,108.023453739882,1.00598961401212,3002.87458808603,2518.58756622447,1.00460150646526,4278.31678963174,2851.64415197163,0.11
"mix_norm_v3v4","Sparse_p20",0.25,"BSQR","Uniform",20,0.0599638894540559,0.19648127355942,0.719095306102782,0.846813879468545,8.97601305828486e-05,0.865,0.739120139571826,6.24558082818985,1.00200071353636,2984.96868127559,2540.76189302637,1.0005500189107,4436.18882730744,2832.57913381197,0
"mix_norm_v3v4","Sparse_p20",0.25,"BSQR","Epanechnikov",20,0.0601469984860898,0.196769359909178,0.720928436731444,0.846962624986116,7.52454323477966e-05,0.92875,0.902080908598991,38.289938172102,1.00193226570032,2872.81366963417,2545.13622117842,1.00067352451186,4488.70652278463,2876.19813719564,0
"mix_norm_v3v4","Sparse_p20",0.25,"BSQR","Triangular",20,0.06034820389909,0.197085813288138,0.723256679237302,0.847200298007565,0.000303055706978205,0.8645,0.736745934683339,29.8372359490395,1.00200612455768,2831.76693278778,2508.64882617366,1.00062251077381,4330.23104211771,2837.29425184877,0
"mix_norm_v3v4","Sparse_p20",0.5,"QR","N/A",20,0.052776709249119,0.184107224585696,0.640757272942819,0.840235076333817,0.00117269686734356,,,,,,,,,,
"mix_norm_v3v4","Sparse_p20",0.5,"BQR","ALD",20,0.0426304315208708,0.165399548147668,0.516118235310195,0.828024884281856,0.00111183550702142,0.9295,0.738255982701081,25.1042704498768,1.00218780191911,2305.91375398466,2322.38666240034,1.00058265119156,4034.02594559126,2810.87299238719,0
"mix_norm_v3v4","Sparse_p20",0.5,"BSQR","Gaussian",20,0.0373117060405206,0.154767725989643,0.451632331391805,0.821652265315666,0.000733893396161758,0.94175,0.726829400573869,104.163582570553,1.00193168160601,3201.7568037561,2578.0869669104,1.00063469450727,4341.99734431116,2868.89790856968,0.725
"mix_norm_v3v4","Sparse_p20",0.5,"BSQR","Uniform",20,0.0394179499708815,0.158978643133493,0.476292244162116,0.824020586959087,0.000870413905341551,0.93425,0.727616646546444,6.22588277101517,1.00197251067149,3054.49259222278,2560.0575593895,1.00056311110039,4436.29922760462,2882.23902217161,0
"mix_norm_v3v4","Sparse_p20",0.5,"BSQR","Epanechnikov",20,0.0387207149390132,0.157660352487486,0.469131938174354,0.823290965802162,0.000884919663021369,0.99125,1.07762382200101,37.7526473581791,1.00191214113982,3008.83544944577,2540.52192305289,1.00058314922486,4452.67356105821,2860.86366356138,0
